Unnamed: 0,광역시도,시군구,20-39세계,20-39세남자,20-39세여자,65세 이상계,인구수계,소멸비율,소멸위기지역,소멸위기고위험지역,ID,y,x,20-30여성비
234,충청남도,태안군,10451,5982,4471,18864,62051,0.237,1,0,태안,11,0,-7.219404841641946
235,충청남도,홍성군,20483,10932,9551,23306,99547,0.4098,1,0,홍성,12,2,-3.3710882194990965
236,충청북도,괴산군,6048,3483,2567,12747,38968,0.2014,1,0,괴산,12,8,-7.55621693121693
237,충청북도,단양군,4411,2480,1931,8752,29143,0.2206,1,0,단양,11,7,-6.22307866696894
238,충청북도,보은군,4706,2660,2047,10967,32403,0.1867,1,1,보은,13,8,-6.50233744156396
239,충청북도,상당구,45413,23876,21537,28094,183083,0.7666,0,0,청주 상당,14,6,-2.57525378195671
240,충청북도,서원구,52446,27705,24741,28508,197773,0.8679,0,0,청주 서원,14,7,-2.8257636426038237
241,충청북도,영동군,8038,4375,3663,14708,47737,0.249,1,0,영동,15,7,-4.428962428464795
242,충청북도,옥천군,8472,4635,3839,14710,50381,0.261,1,0,옥천,15,6,-4.686024551463647
243,충청북도,음성군,19630,11185,8445,19252,93181,0.4387,1,0,음성,11,5,-6.979113601630161
244,충청북도,제천시,28234,15216,13018,28247,132883,0.4609,1,0,제천,10,7,-3.8924700715449454
245,충청북도,증평군,9381,5305,4077,6236,36893,0.6538,0,0,증평,13,6,-6.539814518708026
246,충청북도,진천군,20447,11435,9013,13290,81958,0.6782,0,0,진천,12,5,-5.920183890057223
247,충청북도,청원구,58449,31789,26661,23978,194256,1.1119,0,0,청주 청원,13,7,-4.385874865267159
248,충청북도,충주시,47962,26670,21293,40566,209084,0.5249,0,0,충주,12,6,-5.604436845836286
249,충청북도,흥덕구,81443,43471,37975,28478,262632,1.3335,0,0,청주 흥덕,12,7,-3.372297189445378
