제목,저자,출간일,쪽수,가격,역자
"IT CookBook, 자바스크립트 프로그래밍 입문(2판)",윤인성,2022-01-03,512 쪽,"27,000원",-
"IT CookBook, 파이썬 for Beginner(3판)",우재남,2022-01-03,524 쪽,"25,000원",-
SRE를 위한 시스템 설계와 구축,"헤더 애드킨스 , 벳시 바이어 , 폴 블랭킨십 , 피오트르 레반도프스키 , 애나 오프레아 , 애덤 스터블필드",2022-01-03,624 쪽,"40,000원",장현희
이것이 안드로이드다 with 코틀린(3판),고돈호,2022-01-03,852 쪽,"34,000원",-
팀장부터 CEO까지 알아야 할 기업 정보보안 가이드,강은성,2022-01-03,444 쪽,"25,000원",-
기본 재무관리(제5판),"Jonathan Berk , Peter DeMarzo , Jarrad Harford",2021-12-31,912 쪽,"42,000원","선정훈 , 고광수 , 변진호"
세밀화로 보는 멸종 동물 도감,"라데크 말리 , 이르지 그르바브치치(그림) , 파벨 드보르스키(그림)",2021-12-30,92 쪽,"22,000원",황성연
저는 주식투자가 처음인데요(투자전략편 2022년 개정판),강병욱,2021-12-30,420 쪽,"18,500원",-
(개발자에게 필요 없는 수학은 없다) 프로그래머를 위한 수학,폴 올랜드,2021-12-29,732 쪽,"42,000원","노희준 , 박종태 , 박한길 , 신정규"
금융 전략을 위한 머신러닝,"하리옴 탓샛 , 사힐 푸리 , 브래드 루카보",2021-12-27,468 쪽,"35,000원",김한상
"STEM CookBook, 컴퓨팅 사고력을 키우는 이산수학(3판)",박주미,2021-12-26,652 쪽,"29,000원",-
그래프QL 인 액션,사메르 부나,2021-12-24,484 쪽,"35,000원",김완섭
무던한 개발자를 위한 모던한 자바스크립트,카이 호스트만,2021-12-20,460 쪽,"32,000원",우정은
비전 시스템을 위한 딥러닝,모하메드 엘겐디,2021-12-20,536 쪽,"38,000원",심효섭
소문난 명강의 : 오준석의 안드로이드 생존코딩_코틀린 편(2판),오준석,2021-12-17,456 쪽,"32,000원",-
하루 한 장 초등과학 365,치바 가즈요시,2021-12-14,416 쪽,"19,800원","허영은 , 유우종 (감수)"
"다시, 배우다",폴 김,2021-12-10,304 쪽,"16,000원",-
당당한 디자인 결정을 위한 9가지 방법,톰 그리버,2021-12-10,376 쪽,"22,000원","김민성 , 곽서희"
슈퍼 석세스,댄 페냐,2021-12-03,516 쪽,"25,000원","황성연 , 최은아"
365 부모 말하기 연습 일력(스프링북),"박재연 , 공인영",2021-12-01,384 쪽,"18,000원",-
공학도를 위한 수치해석(8판),"Steven C.Chapra , Raymond P. Canale",2021-11-30,600 쪽,"36,000원","나양 , 이승배 , 임윤철"
엑셀 매크로&VBA 업무 공략집,최준선,2021-11-30,328 쪽,"22,000원",-
데이터 과학자 되는 법,"에밀리 로빈슨 , 재클린 놀리스",2021-11-26,372 쪽,"24,000원",이창화
돈 되는 기획,김도균,2021-11-26,240 쪽,"14,500원",-
빠르게 찾아 바로 적용하는 엑셀 에센스 사전 100,한은숙,2021-11-25,300 쪽,"18,000원",-
초등 어휘력이 공부력이다,박명선,2021-11-25,412 쪽,"18,000원",-
만화로 배우는 의학의 역사(개정판),"장 노엘 파비아니 , 필리프 베르코비치 , 김모 , 조한나",2021-11-15,296 쪽,"20,800원",-
"스토리텔링 우동이즘의 잘 팔리는 웹툰, 웹소설 이야기 만들기",우동이즘(이동우),2021-11-15,232 쪽,"16,000원",-
중학교 입학 가이드,배혜림,2021-11-11,376 쪽,"16,500원",-
보고서 작성 실무 강의(개정판),홍장표,2021-11-08,400 쪽,"18,000원",-
비겁한 돈,"황현희 , 제갈현열",2021-11-08,248 쪽,"16,000원",-
나도 영문 손글씨 잘 쓰면 소원이 없겠네,윤정희(리제 캘리그라피),2021-11-05,240 쪽,"16,800원",-
구글 BERT의 정석,수다르산 라비찬디란,2021-11-03,368 쪽,"34,000원","전희원 , 정승환 , 김형준"
1000개 숨은그림찾기 몬스터 : 찾아도 찾아도 끝판왕,김확실,2021-11-02,96 쪽,"8,000원",-
1000개 숨은그림찾기 보물찾기 : 찾아도 찾아도 끝판왕,전진희,2021-11-02,96 쪽,"8,000원",-
1000개 숨은그림찾기 탈것 : 찾아도 찾아도 끝판왕,이한이,2021-11-02,96 쪽,"8,000원",-
